customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,amount,category,channel,premium_amount,product_type,income_score,age_bucket,age_income_interaction,premium_to_income_ratio,age_premium_interaction,wealth_segment
65,77,Low,SME,Building control surveyor,Thika,Medium,123401,Groceries,Branch,2364,Life,1,Elderly,77,1182.0,182028,MatureLowIncome
66,31,High,SME,"Doctor, general practice",Machakos,Low,100181,Groceries,Internet Banking,5527,Life,3,YoungAdult,93,1381.75,171337,YoungHighIncome
67,67,High,Mass,Diagnostic radiographer,Meru,Low,160406,Groceries,App,14833,Medical,3,Elderly,201,3708.25,993811,MatureHighIncome
68,75,Medium,Affluent,Tree surgeon,Kisumu,Low,13419,Travel,Internet Banking,2658,Life,2,Elderly,150,886.0,199350,MatureLowIncome
69,26,High,Affluent,Landscape architect,Machakos,Medium,171497,Travel,Internet Banking,3120,Travel,3,YoungAdult,78,780.0,81120,YoungHighIncome
70,43,High,Affluent,"Buyer, retail",Nakuru,Medium,244916,Groceries,USSD,10095,Life,3,MiddleAge,129,2523.75,434085,MatureHighIncome
71,70,Low,Mass,Agricultural consultant,Mombasa,Medium,13519,Bills,App,6833,Medical,1,Elderly,70,3416.5,478310,MatureLowIncome
72,19,Medium,SME,"Nurse, adult",Nakuru,High,30917,Travel,Internet Banking,4569,Travel,2,Youth,38,1523.0,86811,MatureLowIncome
73,37,Low,Affluent,Arts development officer,Nakuru,Low,31158,Bills,Branch,4400,Gadget,1,MiddleAge,37,2200.0,162800,MatureLowIncome
74,45,Medium,Affluent,"Producer, radio",Machakos,Medium,73470,School Fees,USSD,1541,Education,2,MiddleAge,90,513.6666666666666,69345,MatureLowIncome
75,64,Low,Mass,"Surveyor, commercial/residential",Nyeri,High,270901,Groceries,Internet Banking,11204,Medical,1,Senior,64,5602.0,717056,MatureLowIncome
76,77,High,SME,"Psychologist, sport and exercise",Machakos,Medium,136232,Groceries,App,7470,Education,3,Elderly,231,1867.5,575190,MatureHighIncome
77,24,High,SME,Telecommunications researcher,Naivasha,Low,121053,Travel,App,8996,Travel,3,Youth,72,2249.0,215904,YoungHighIncome
78,61,Medium,Mass,Fisheries officer,Nakuru,High,14185,Travel,Branch,3123,Travel,2,Senior,122,1041.0,190503,MatureLowIncome
79,78,Low,Affluent,Police officer,Mombasa,High,241975,Travel,App,2274,Travel,1,Elderly,78,1137.0,177372,MatureLowIncome
80,25,Low,SME,Contractor,Nairobi,High,82365,Groceries,USSD,10074,Motor,1,YoungAdult,25,5037.0,251850,YoungLowIncome
81,64,High,SME,Chief Strategy Officer,Mombasa,High,125652,School Fees,USSD,4711,Education,3,Senior,192,1177.75,301504,MatureHighIncome
82,52,High,Affluent,Purchasing manager,Mombasa,High,255530,Bills,App,4359,Life,3,Senior,156,1089.75,226668,MatureHighIncome
83,31,Medium,Mass,Marketing executive,Kisumu,High,54027,Bills,Internet Banking,10476,Education,2,YoungAdult,62,3492.0,324756,MatureLowIncome
84,34,High,Affluent,"Biochemist, clinical",Nyeri,Low,235879,Travel,Internet Banking,8433,Travel,3,YoungAdult,102,2108.25,286722,YoungHighIncome
85,53,Medium,SME,Environmental consultant,Eldoret,Low,27681,Groceries,Internet Banking,14538,Life,2,Senior,106,4846.0,770514,MatureLowIncome
86,67,Medium,Mass,Chief of Staff,Nairobi,High,20499,Groceries,Branch,2137,Medical,2,Elderly,134,712.3333333333334,143179,MatureLowIncome
87,57,Medium,Affluent,Intelligence analyst,Eldoret,Low,119537,School Fees,App,4793,Education,2,Senior,114,1597.6666666666667,273201,MatureLowIncome
88,21,Medium,Affluent,Production manager,Naivasha,Low,44133,Groceries,Internet Banking,13083,Medical,2,Youth,42,4361.0,274743,MatureLowIncome
89,19,High,Mass,"Therapist, nutritional",Nairobi,Medium,58018,Electronics,Internet Banking,13193,Medical,3,Youth,57,3298.25,250667,YoungHighIncome
90,79,Medium,SME,Fast food restaurant manager,Nakuru,Medium,16101,Groceries,Internet Banking,9060,Medical,2,Elderly,158,3020.0,715740,MatureLowIncome
91,23,High,Mass,"Psychologist, prison and probation services",Mombasa,Medium,147647,Electronics,App,11669,Gadget,3,Youth,69,2917.25,268387,YoungHighIncome
92,71,Medium,Mass,Academic librarian,Machakos,High,129017,Electronics,Internet Banking,14756,Gadget,2,Elderly,142,4918.666666666667,1047676,MatureLowIncome
93,59,High,SME,Marketing executive,Mombasa,Medium,192225,Bills,Branch,10674,Medical,3,Senior,177,2668.5,629766,MatureHighIncome
94,21,Medium,Affluent,Building control surveyor,Nairobi,Low,271606,Travel,Branch,8180,Travel,2,Youth,42,2726.6666666666665,171780,MatureLowIncome
95,71,High,Mass,"Geneticist, molecular",Mombasa,Medium,111656,Electronics,App,2596,Gadget,3,Elderly,213,649.0,184316,MatureHighIncome
96,46,Low,Mass,Administrator,Nyeri,High,121,Groceries,App,6910,Education,1,MiddleAge,46,3455.0,317860,MatureLowIncome
97,35,Medium,Affluent,Armed forces logistics/support/administrative officer,Nakuru,High,27702,School Fees,Internet Banking,2096,Education,2,MiddleAge,70,698.6666666666666,73360,MatureLowIncome
98,43,Medium,SME,"Surveyor, building control",Eldoret,Low,282342,Groceries,Branch,12133,Education,2,MiddleAge,86,4044.3333333333335,521719,MatureLowIncome
99,61,Low,Affluent,"Scientist, research (maths)",Mombasa,Low,215580,Bills,USSD,2446,Medical,1,Senior,61,1223.0,149206,MatureLowIncome
100,51,Low,Affluent,Chartered legal executive (England and Wales),Nakuru,Medium,230705,Bills,USSD,8914,Motor,1,Senior,51,4457.0,454614,MatureLowIncome
101,27,Medium,Mass,"Scientist, product/process development",Naivasha,Medium,108152,School Fees,Internet Banking,14201,Education,2,YoungAdult,54,4733.666666666667,383427,MatureLowIncome
102,79,High,Mass,Air broker,Eldoret,Medium,13258,Bills,Branch,5676,Medical,3,Elderly,237,1419.0,448404,MatureHighIncome
103,53,Medium,SME,Careers adviser,Machakos,High,228444,Electronics,USSD,7314,Gadget,2,Senior,106,2438.0,387642,MatureLowIncome
104,31,High,Mass,Psychiatric nurse,Nyeri,Medium,145276,Travel,Internet Banking,4049,Travel,3,YoungAdult,93,1012.25,125519,YoungHighIncome
105,48,Low,Affluent,"Engineer, manufacturing",Meru,Medium,147374,Electronics,Branch,10737,Travel,1,MiddleAge,48,5368.5,515376,MatureLowIncome
106,65,High,Affluent,Financial adviser,Nairobi,Low,241934,School Fees,Internet Banking,5360,Education,3,Elderly,195,1340.0,348400,MatureHighIncome
107,32,Medium,SME,Chemical engineer,Nairobi,High,71317,Travel,App,690,Travel,2,YoungAdult,64,230.0,22080,MatureLowIncome
108,25,Low,Mass,Medical sales representative,Kisumu,High,117670,Travel,Internet Banking,2245,Travel,1,YoungAdult,25,1122.5,56125,YoungLowIncome
109,31,Low,Mass,Equality and diversity officer,Machakos,Low,74625,Groceries,Branch,9587,Travel,1,YoungAdult,31,4793.5,297197,YoungLowIncome
110,40,Medium,SME,"Engineer, aeronautical",Nairobi,High,24938,School Fees,Internet Banking,4707,Education,2,MiddleAge,80,1569.0,188280,MatureLowIncome
111,77,Medium,SME,Accommodation manager,Nyeri,Low,217777,Bills,App,4799,Medical,2,Elderly,154,1599.6666666666667,369523,MatureLowIncome
112,74,Low,Mass,"Surveyor, building",Mombasa,Low,254920,School Fees,Branch,2865,Education,1,Elderly,74,1432.5,212010,MatureLowIncome
113,79,High,SME,Financial trader,Nairobi,Low,182166,School Fees,Internet Banking,14314,Life,3,Elderly,237,3578.5,1130806,MatureHighIncome
114,57,High,Affluent,Stage manager,Nairobi,Medium,165555,Groceries,App,3705,Medical,3,Senior,171,926.25,211185,MatureHighIncome
115,38,High,SME,Dance movement psychotherapist,Meru,Medium,87084,School Fees,USSD,8294,Education,3,MiddleAge,114,2073.5,315172,MatureHighIncome
116,33,Medium,Affluent,Media buyer,Nyeri,High,248217,Electronics,App,6710,Gadget,2,YoungAdult,66,2236.6666666666665,221430,MatureLowIncome
117,62,Low,Affluent,Trade union research officer,Nairobi,Low,32531,Electronics,Internet Banking,12864,Life,1,Senior,62,6432.0,797568,MatureLowIncome
118,35,High,Affluent,Architect,Nakuru,Medium,271810,School Fees,Branch,13421,Education,3,MiddleAge,105,3355.25,469735,MatureHighIncome
119,64,Low,Mass,"Editor, commissioning",Naivasha,High,262908,Groceries,App,4593,Medical,1,Senior,64,2296.5,293952,MatureLowIncome
120,70,High,Affluent,Jewellery designer,Eldoret,High,235906,School Fees,USSD,1109,Education,3,Elderly,210,277.25,77630,MatureHighIncome
121,41,Low,SME,"Teacher, English as a foreign language",Nyeri,Low,191001,School Fees,App,12224,Education,1,MiddleAge,41,6112.0,501184,MatureLowIncome
122,43,Medium,Affluent,"Engineer, production",Eldoret,Low,111951,Electronics,Internet Banking,1659,Gadget,2,MiddleAge,86,553.0,71337,MatureLowIncome
123,42,Medium,Mass,Chiropractor,Naivasha,High,69563,Groceries,App,8609,Motor,2,MiddleAge,84,2869.6666666666665,361578,MatureLowIncome
124,77,Medium,Mass,Child psychotherapist,Thika,High,138231,Travel,Branch,9314,Travel,2,Elderly,154,3104.6666666666665,717178,MatureLowIncome
125,77,High,Mass,Geophysicist/field seismologist,Thika,High,69625,Travel,Branch,7080,Travel,3,Elderly,231,1770.0,545160,MatureHighIncome
126,77,Medium,Mass,Catering manager,Machakos,Medium,46526,Groceries,Branch,2704,Medical,2,Elderly,154,901.3333333333334,208208,MatureLowIncome
127,62,Medium,SME,"Lighting technician, broadcasting/film/video",Nyeri,Medium,247770,Groceries,USSD,9932,Medical,2,Senior,124,3310.6666666666665,615784,MatureLowIncome
128,58,Medium,Mass,Armed forces operational officer,Meru,High,86486,Travel,Branch,1023,Travel,2,Senior,116,341.0,59334,MatureLowIncome
129,46,Low,SME,Farm manager,Mombasa,High,192223,School Fees,Branch,9608,Gadget,1,MiddleAge,46,4804.0,441968,MatureLowIncome
130,32,Low,Mass,Naval architect,Nyeri,High,73119,Electronics,Internet Banking,8764,Gadget,1,YoungAdult,32,4382.0,280448,YoungLowIncome
131,62,Low,Mass,Arts development officer,Nakuru,Medium,41440,Electronics,Internet Banking,2607,Gadget,1,Senior,62,1303.5,161634,MatureLowIncome
132,18,Low,SME,Legal executive,Nyeri,Low,119169,Travel,Internet Banking,14148,Travel,1,Youth,18,7074.0,254664,YoungLowIncome
133,42,Low,Affluent,Lexicographer,Meru,Low,19399,Bills,App,1617,Motor,1,MiddleAge,42,808.5,67914,MatureLowIncome
134,24,Low,SME,Surgeon,Nyeri,High,15174,Bills,USSD,5200,Motor,1,Youth,24,2600.0,124800,YoungLowIncome
135,26,Low,Affluent,Administrator,Nairobi,Medium,251580,School Fees,App,9220,Education,1,YoungAdult,26,4610.0,239720,YoungLowIncome
136,41,Medium,SME,Geophysical data processor,Nyeri,Medium,174438,Travel,Internet Banking,7665,Travel,2,MiddleAge,82,2555.0,314265,MatureLowIncome
137,18,Medium,Affluent,Planning and development surveyor,Machakos,High,22391,Travel,Branch,1083,Travel,2,Youth,36,361.0,19494,MatureLowIncome
138,61,High,Mass,Nutritional therapist,Nairobi,High,14204,Bills,Branch,9980,Medical,3,Senior,183,2495.0,608780,MatureHighIncome
139,25,Medium,Affluent,Emergency planning/management officer,Nakuru,High,67976,School Fees,Branch,11501,Education,2,YoungAdult,50,3833.6666666666665,287525,MatureLowIncome
140,41,Low,Affluent,Insurance broker,Meru,Medium,101246,Bills,App,9556,Motor,1,MiddleAge,41,4778.0,391796,MatureLowIncome
141,28,Low,Mass,Chief Executive Officer,Nakuru,Low,79868,Bills,USSD,5870,Medical,1,YoungAdult,28,2935.0,164360,YoungLowIncome
142,68,High,Mass,"Therapist, music",Eldoret,Medium,62595,Bills,App,5689,Medical,3,Elderly,204,1422.25,386852,MatureHighIncome
143,34,Medium,Affluent,Firefighter,Meru,Medium,151204,Electronics,Internet Banking,10857,Travel,2,YoungAdult,68,3619.0,369138,MatureLowIncome
144,25,Medium,Affluent,Recruitment consultant,Machakos,Medium,243324,Travel,App,13045,Travel,2,YoungAdult,50,4348.333333333333,326125,MatureLowIncome
145,52,High,SME,Licensed conveyancer,Nairobi,Low,155381,School Fees,Branch,12637,Life,3,Senior,156,3159.25,657124,MatureHighIncome
146,52,Low,Mass,Minerals surveyor,Kisumu,Low,199115,School Fees,Branch,7693,Education,1,Senior,52,3846.5,400036,MatureLowIncome
147,50,Low,Mass,Museum/gallery exhibitions officer,Nakuru,Low,185648,Travel,App,9112,Medical,1,Senior,50,4556.0,455600,MatureLowIncome
148,76,Low,Mass,Nutritional therapist,Kisumu,High,165605,Electronics,USSD,1834,Gadget,1,Elderly,76,917.0,139384,MatureLowIncome
149,22,Low,SME,Meteorologist,Meru,Low,127869,Travel,Internet Banking,1033,Travel,1,Youth,22,516.5,22726,YoungLowIncome
150,59,High,SME,Physiological scientist,Thika,High,288671,School Fees,Internet Banking,2299,Education,3,Senior,177,574.75,135641,MatureHighIncome
151,56,Medium,Affluent,"Copywriter, advertising",Kisumu,High,173208,School Fees,App,14286,Gadget,2,Senior,112,4762.0,800016,MatureLowIncome
152,75,Low,SME,"Producer, radio",Machakos,Low,85142,Electronics,Branch,8147,Gadget,1,Elderly,75,4073.5,611025,MatureLowIncome
153,58,Medium,SME,"Surveyor, mining",Meru,High,107173,Travel,USSD,4667,Travel,2,Senior,116,1555.6666666666667,270686,MatureLowIncome
154,45,Medium,SME,"Runner, broadcasting/film/video",Nyeri,Medium,112469,Electronics,Internet Banking,14415,Gadget,2,MiddleAge,90,4805.0,648675,MatureLowIncome
155,24,Low,Mass,Mental health nurse,Nakuru,High,200094,Bills,Internet Banking,8930,Motor,1,Youth,24,4465.0,214320,YoungLowIncome
156,26,Low,Affluent,Sports coach,Eldoret,Medium,183571,Travel,App,2215,Travel,1,YoungAdult,26,1107.5,57590,YoungLowIncome
157,25,Low,SME,Ergonomist,Kisumu,High,5760,Groceries,Internet Banking,2104,Education,1,YoungAdult,25,1052.0,52600,YoungLowIncome
158,29,Medium,SME,"Surveyor, hydrographic",Eldoret,High,161651,Electronics,Branch,4181,Gadget,2,YoungAdult,58,1393.6666666666667,121249,MatureLowIncome
159,51,High,SME,"Engineer, technical sales",Mombasa,Low,94201,Groceries,Branch,14894,Life,3,Senior,153,3723.5,759594,MatureHighIncome
160,50,Low,Mass,Audiological scientist,Mombasa,Medium,253296,Electronics,Branch,14747,Gadget,1,Senior,50,7373.5,737350,MatureLowIncome
161,65,Medium,Affluent,Writer,Eldoret,Medium,51780,School Fees,Branch,4813,Education,2,Elderly,130,1604.3333333333333,312845,MatureLowIncome
162,72,Medium,Affluent,Records manager,Naivasha,Low,213092,Groceries,App,13584,Medical,2,Elderly,144,4528.0,978048,MatureLowIncome
163,40,Low,SME,"Lecturer, higher education",Nairobi,Medium,212760,School Fees,App,7846,Education,1,MiddleAge,40,3923.0,313840,MatureLowIncome
164,79,High,Affluent,"Scientist, marine",Kisumu,Medium,47098,School Fees,Internet Banking,3596,Education,3,Elderly,237,899.0,284084,MatureHighIncome
165,41,Low,Mass,Museum education officer,Nairobi,Medium,83748,School Fees,App,3883,Education,1,MiddleAge,41,1941.5,159203,MatureLowIncome
166,54,Low,SME,"Education officer, community",Machakos,Medium,169988,School Fees,Internet Banking,14935,Education,1,Senior,54,7467.5,806490,MatureLowIncome
167,52,High,Affluent,IT consultant,Mombasa,Low,93839,Travel,USSD,10594,Travel,3,Senior,156,2648.5,550888,MatureHighIncome
168,61,Low,SME,Firefighter,Thika,Low,32507,Travel,USSD,759,Medical,1,Senior,61,379.5,46299,MatureLowIncome
169,57,Low,Mass,Fashion designer,Thika,High,193347,Bills,USSD,1855,Medical,1,Senior,57,927.5,105735,MatureLowIncome
170,39,High,SME,Adult guidance worker,Meru,Low,232532,School Fees,Branch,13253,Medical,3,MiddleAge,117,3313.25,516867,MatureHighIncome
171,44,Medium,Mass,"Scientist, research (maths)",Thika,High,62646,Bills,USSD,11410,Motor,2,MiddleAge,88,3803.3333333333335,502040,MatureLowIncome
172,52,Medium,SME,"Loss adjuster, chartered",Nyeri,Medium,171255,Bills,USSD,5092,Travel,2,Senior,104,1697.3333333333333,264784,MatureLowIncome
173,18,Medium,SME,Comptroller,Thika,Low,12825,Groceries,Branch,7684,Life,2,Youth,36,2561.3333333333335,138312,MatureLowIncome
174,52,Medium,Affluent,Senior tax professional/tax inspector,Nairobi,High,164386,Electronics,USSD,11717,Gadget,2,Senior,104,3905.6666666666665,609284,MatureLowIncome
175,54,Medium,Affluent,"Horticulturist, commercial",Naivasha,High,116608,School Fees,USSD,9073,Education,2,Senior,108,3024.3333333333335,489942,MatureLowIncome
176,64,Low,Mass,Community arts worker,Thika,Medium,222341,Travel,Branch,6325,Travel,1,Senior,64,3162.5,404800,MatureLowIncome
177,31,High,Mass,Nutritional therapist,Machakos,High,153986,Groceries,USSD,9630,Life,3,YoungAdult,93,2407.5,298530,YoungHighIncome
178,20,Medium,Mass,"Teacher, secondary school",Nairobi,Medium,10675,Travel,Branch,2663,Travel,2,Youth,40,887.6666666666666,53260,MatureLowIncome
179,18,High,Affluent,Broadcast presenter,Machakos,Low,273329,Bills,Internet Banking,9215,Life,3,Youth,54,2303.75,165870,YoungHighIncome
180,22,Medium,SME,Adult nurse,Machakos,Medium,120854,Electronics,App,7300,Medical,2,Youth,44,2433.3333333333335,160600,MatureLowIncome
181,43,Low,Mass,Higher education careers adviser,Nairobi,Low,11900,Bills,Internet Banking,545,Medical,1,MiddleAge,43,272.5,23435,MatureLowIncome
182,72,Medium,SME,Sports therapist,Naivasha,Low,293370,Bills,Internet Banking,8327,Travel,2,Elderly,144,2775.6666666666665,599544,MatureLowIncome
183,31,Medium,SME,Best boy,Naivasha,High,182245,Electronics,App,9210,Motor,2,YoungAdult,62,3070.0,285510,MatureLowIncome
184,56,High,Affluent,Planning and development surveyor,Naivasha,Medium,18909,School Fees,Branch,4087,Education,3,Senior,168,1021.75,228872,MatureHighIncome
185,44,High,Affluent,Airline pilot,Kisumu,Medium,223219,Bills,Branch,8510,Life,3,MiddleAge,132,2127.5,374440,MatureHighIncome
186,26,Low,SME,Electronics engineer,Kisumu,High,148974,School Fees,App,13525,Education,1,YoungAdult,26,6762.5,351650,YoungLowIncome
